open,high,low,close,volume,timestamp,date
395.0,399.7,380.0,382.55,650412.0,2025-01-31 18:30:00,2025-01-31 18:30:00
379.75,383.2,359.0,362.0,720390.0,2025-02-02 18:30:00,2025-02-02 18:30:00
369.55,377.45,363.2,373.05,774969.0,2025-02-03 18:30:00,2025-02-03 18:30:00
375.65,390.4,373.0,374.8,727545.0,2025-02-04 18:30:00,2025-02-04 18:30:00
378.35,387.6,373.0,376.95,656048.0,2025-02-05 18:30:00,2025-02-05 18:30:00
377.9,377.9,367.05,369.4,421233.0,2025-02-06 18:30:00,2025-02-06 18:30:00
369.25,369.85,359.6,365.75,365865.0,2025-02-09 18:30:00,2025-02-09 18:30:00
367.75,367.75,348.0,351.0,468995.0,2025-02-10 18:30:00,2025-02-10 18:30:00
348.05,350.35,333.8,342.95,1380844.0,2025-02-11 18:30:00,2025-02-11 18:30:00
346.75,356.45,340.0,342.8,831900.0,2025-02-12 18:30:00,2025-02-12 18:30:00
346.0,347.15,333.05,340.65,856547.0,2025-02-13 18:30:00,2025-02-13 18:30:00
339.75,344.25,331.25,339.9,448512.0,2025-02-16 18:30:00,2025-02-16 18:30:00
340.0,347.6,335.3,343.25,617557.0,2025-02-17 18:30:00,2025-02-17 18:30:00
343.25,359.5,337.95,352.05,462851.0,2025-02-18 18:30:00,2025-02-18 18:30:00
350.8,365.4,348.65,363.05,443039.0,2025-02-19 18:30:00,2025-02-19 18:30:00
360.1,368.85,355.25,359.25,356272.0,2025-02-20 18:30:00,2025-02-20 18:30:00
359.0,364.0,350.4,355.85,340603.0,2025-02-23 18:30:00,2025-02-23 18:30:00
356.9,361.75,340.0,342.55,382538.0,2025-02-24 18:30:00,2025-02-24 18:30:00
343.0,348.7,338.55,346.2,336318.0,2025-02-26 18:30:00,2025-02-26 18:30:00
341.95,361.05,335.75,358.4,842562.0,2025-02-27 18:30:00,2025-02-27 18:30:00
357.0,359.15,338.3,350.65,505465.0,2025-03-02 18:30:00,2025-03-02 18:30:00
348.0,364.8,345.0,357.95,424440.0,2025-03-03 18:30:00,2025-03-03 18:30:00
355.0,374.0,354.95,371.9,601981.0,2025-03-04 18:30:00,2025-03-04 18:30:00
374.0,393.0,374.0,384.55,897546.0,2025-03-05 18:30:00,2025-03-05 18:30:00
385.0,400.9,385.0,394.0,788913.0,2025-03-06 18:30:00,2025-03-06 18:30:00
395.0,401.85,383.85,387.8,381437.0,2025-03-09 18:30:00,2025-03-09 18:30:00
385.0,417.35,381.1,399.6,7024943.0,2025-03-10 18:30:00,2025-03-10 18:30:00
401.9,417.5,397.35,406.15,1739732.0,2025-03-11 18:30:00,2025-03-11 18:30:00
407.6,409.0,396.5,400.2,527666.0,2025-03-12 18:30:00,2025-03-12 18:30:00
401.55,409.8,394.3,404.65,743292.0,2025-03-16 18:30:00,2025-03-16 18:30:00
406.0,421.35,402.85,419.2,1126679.0,2025-03-17 18:30:00,2025-03-17 18:30:00
420.0,426.85,415.1,417.15,748756.0,2025-03-18 18:30:00,2025-03-18 18:30:00
417.5,429.8,416.1,424.05,605438.0,2025-03-19 18:30:00,2025-03-19 18:30:00
424.9,432.8,423.3,429.5,586581.0,2025-03-20 18:30:00,2025-03-20 18:30:00
432.0,439.35,429.15,431.75,386821.0,2025-03-23 18:30:00,2025-03-23 18:30:00
434.6,510.4,433.2,483.0,30111945.0,2025-03-24 18:30:00,2025-03-24 18:30:00
480.0,516.0,473.35,499.25,24008873.0,2025-03-25 18:30:00,2025-03-25 18:30:00
490.0,497.0,481.4,486.0,4623683.0,2025-03-26 18:30:00,2025-03-26 18:30:00
485.95,495.9,474.0,482.85,1621799.0,2025-03-27 18:30:00,2025-03-27 18:30:00
484.7,495.45,476.1,482.55,1130516.0,2025-03-31 18:30:00,2025-03-31 18:30:00
484.0,511.75,469.0,500.65,2495655.0,2025-04-01 18:30:00,2025-04-01 18:30:00
495.85,504.0,490.05,498.35,879050.0,2025-04-02 18:30:00,2025-04-02 18:30:00
498.35,498.7,470.1,474.7,866951.0,2025-04-03 18:30:00,2025-04-03 18:30:00
410.0,461.0,406.1,455.15,1293109.0,2025-04-06 18:30:00,2025-04-06 18:30:00
469.95,474.4,454.05,457.15,737503.0,2025-04-07 18:30:00,2025-04-07 18:30:00
458.0,460.65,442.0,444.55,449514.0,2025-04-08 18:30:00,2025-04-08 18:30:00
469.5,469.7,443.4,453.0,1053850.0,2025-04-10 18:30:00,2025-04-10 18:30:00
463.15,477.85,455.0,474.6,1011773.0,2025-04-14 18:30:00,2025-04-14 18:30:00
477.95,485.0,473.55,479.75,753013.0,2025-04-15 18:30:00,2025-04-15 18:30:00
479.75,492.0,475.65,479.0,1200056.0,2025-04-16 18:30:00,2025-04-16 18:30:00
480.9,485.5,474.05,480.2,596588.0,2025-04-20 18:30:00,2025-04-20 18:30:00
485.05,497.7,475.6,479.4,1311803.0,2025-04-21 18:30:00,2025-04-21 18:30:00
482.0,483.45,467.15,473.75,621889.0,2025-04-22 18:30:00,2025-04-22 18:30:00
474.9,483.75,472.05,476.7,578695.0,2025-04-23 18:30:00,2025-04-23 18:30:00
475.0,476.6,455.25,464.1,813618.0,2025-04-24 18:30:00,2025-04-24 18:30:00
461.5,492.45,458.7,478.4,1775818.0,2025-04-27 18:30:00,2025-04-27 18:30:00
480.0,486.7,470.0,472.25,470717.0,2025-04-28 18:30:00,2025-04-28 18:30:00
473.0,482.8,464.0,466.35,748416.0,2025-04-29 18:30:00,2025-04-29 18:30:00
467.0,470.6,456.65,460.45,419045.0,2025-05-01 18:30:00,2025-05-01 18:30:00
460.1,472.95,457.95,468.2,727209.0,2025-05-04 18:30:00,2025-05-04 18:30:00
471.0,471.0,441.1,447.0,641995.0,2025-05-05 18:30:00,2025-05-05 18:30:00
438.0,449.8,434.0,447.35,667398.0,2025-05-06 18:30:00,2025-05-06 18:30:00
450.6,454.5,430.1,436.25,303101.0,2025-05-07 18:30:00,2025-05-07 18:30:00
427.0,434.4,416.05,424.9,493728.0,2025-05-08 18:30:00,2025-05-08 18:30:00
448.7,466.0,445.85,463.3,827840.0,2025-05-11 18:30:00,2025-05-11 18:30:00
464.0,467.7,458.6,461.6,342976.0,2025-05-12 18:30:00,2025-05-12 18:30:00
464.35,492.7,463.0,488.2,2499122.0,2025-05-13 18:30:00,2025-05-13 18:30:00
489.75,490.5,480.85,483.75,615664.0,2025-05-14 18:30:00,2025-05-14 18:30:00
486.0,495.0,479.4,490.6,717101.0,2025-05-15 18:30:00,2025-05-15 18:30:00
492.9,550.9,492.6,528.7,14342722.0,2025-05-18 18:30:00,2025-05-18 18:30:00
515.0,519.0,492.35,494.45,3403597.0,2025-05-19 18:30:00,2025-05-19 18:30:00
492.0,504.95,481.4,492.55,1574960.0,2025-05-20 18:30:00,2025-05-20 18:30:00
491.0,497.9,475.55,480.2,816418.0,2025-05-21 18:30:00,2025-05-21 18:30:00
483.8,514.6,477.7,495.3,3007472.0,2025-05-22 18:30:00,2025-05-22 18:30:00
495.0,495.0,486.95,487.8,443610.0,2025-05-25 18:30:00,2025-05-25 18:30:00
489.05,509.2,488.15,499.9,1273905.0,2025-05-26 18:30:00,2025-05-26 18:30:00
498.05,499.95,488.4,490.7,425536.0,2025-05-27 18:30:00,2025-05-27 18:30:00
492.7,525.8,488.6,514.35,4497298.0,2025-05-28 18:30:00,2025-05-28 18:30:00
514.35,532.0,512.25,523.5,2324079.0,2025-05-29 18:30:00,2025-05-29 18:30:00
523.9,526.9,515.25,519.25,598555.0,2025-06-01 18:30:00,2025-06-01 18:30:00
526.0,538.7,511.55,517.35,2031625.0,2025-06-02 18:30:00,2025-06-02 18:30:00
517.05,535.95,505.75,522.95,1982677.0,2025-06-03 18:30:00,2025-06-03 18:30:00
524.0,539.0,520.7,524.5,1274609.0,2025-06-04 18:30:00,2025-06-04 18:30:00
